id,name,description,genre,category_id,index_value,index_type,score_type,brief_description
24,Average Word Length,"Students can use a variety of words, ranging from very short words to longer words that tend to be less common. The length of each word is measured based on the number of letters in that word. Average word length reports the average number of letters per word across an entire essay.",3,2,Word_length,1,1,Average number of letters per word
25,Overall Score,"An effective persuasive essay should develop a point of view on the issue, and demonstrates critical thinking, using clearly appropriate examples, reasons, and evidence to support the position. The essay should be well organized and clearly focused, demonstrating coherence and smooth progression of ideas.  The essay should also display skillful use of language, using a varied, accurate, and apt vocabulary demonstrates meaningful variety in sentence structure is free of most errors in grammar, usage, and mechanics. The overall quality score indicates the extent to which the essay accomplishes these goals. A score closer to 6 represents clear and consistent mastery of these goals, while a score closer to 1 suggests the essay contains flaws.",1,1,overall_score,1,2,"The extent to which the essay has strong ideas, organization, and command of language and adherence to the conventions of persuasive writing."
27,Overall Score,"An effective source-based essay should develop a point of view on the issue, and demonstrates critical thinking, using clearly appropriate examples, reasons, and evidence to support the position, integrate ideas and information from source texts. The essay should be well organized and clearly focused, demonstrating coherence and smooth progression of ideas.  The essay should also display skillful use of language, using a varied, accurate, and apt vocabulary demonstrates meaningful variety in sentence structure is free of most errors in grammar, usage, and mechanics, and cite sources appropriately. The overall quality score indicates the extent to which the essay accomplishes these goals. A score closer to 6 represents clear and consistent mastery of these goals, while a score closer to 1 suggests the essay contains flaws.",3,1,overall_score,1,2,"The extent to which the essay has strong ideas, organization, and command of language and adherence to the conventions of source-based writing."
28,Paragraph Count,"Paragraph count reports the total number of paragraphs that appear in the essay. Paragraphs are generally determined by the presence of line breaks or ""hard returns"" in an essay.",1,2,Number_paragraphs,1,1,Number of paragraphs
29,Paragraph Count,"Paragraph count reports the total number of paragraphs that appear in the essay. Paragraphs are generally determined by the presence of line breaks or ""hard returns"" in an essay.",2,2,Number_paragraphs,1,1,Number of paragraphs
30,Paragraph Count,"Paragraph count reports the total number of paragraphs that appear in the essay. Paragraphs are generally determined by the presence of line breaks or ""hard returns"" in an essay.",3,2,Number_paragraphs,1,1,Number of paragraphs
31,Sentence Count,"Sentence count reports the total number of sentences that appear in an essay. Sentences are generally determined by the presence of end punctuation such as periods, question marks, and exclamation points.",1,2,Number_sentences,1,1,Number of sentences
32,Sentence Count,"Sentence count reports the total number of sentences that appear in an essay. Sentences are generally determined by the presence of end punctuation such as periods, question marks, and exclamation points.",2,2,Number_sentences,1,1,Number of sentences
33,Sentence Count,"Sentence count reports the total number of sentences that appear in an essay. Sentences are generally determined by the presence of end punctuation such as periods, question marks, and exclamation points.",3,2,Number_sentences,1,1,Number of sentences
34,Spelling Errors,Spelling errors reports the total number of words that are misspelled in an essay.,1,2,Number_spelling_errors,1,1,Number of spelling errors
35,Spelling Errors,Spelling errors reports the total number of words that are misspelled in an essay.,2,2,Number_spelling_errors,1,1,Number of spelling errors
36,Spelling Errors,Spelling errors reports the total number of words that are misspelled in an essay.,3,2,Number_spelling_errors,1,1,Number of spelling errors
37,Word Count,"Word count reports the total number of words that appear in an essay. This measure counts every word, including words that are repeated.",1,2,Number_words,1,1,Number of words
38,Word Count,"Word count reports the total number of words that appear in an essay. This measure counts every word, including words that are repeated.",2,2,Number_words,1,1,Number of words
39,Word Count,"Word count reports the total number of words that appear in an essay. This measure counts every word, including words that are repeated.",3,2,Number_words,1,1,Number of words
40,Source Integration,"Source usage reports the extent to which ideas from the source text are integrated into an essay. Students can develop their arguments by including references and information from source texts in their writing. High scores in source usage indicate the essay includes words and phrases from the source text, while low scores may indicate the essay does not include information from source text(s).",3,3,source_usage_cfa,2,2,The extent to which the text contains overlap of words from the source text(s).
41,Content Quality,"Effective summaries should include the main ideas and key details from the source text. A summary's content score depends on how well it includes and accurately presents main ideas, connects information smoothly, and includes important details.",2,3,content_quality,1,2,The inclusion and accuracy of main ideas and key details.
42,Wording Quality,Effective summaries should include the main ideas and key details from the source text that are paraphrased and put into their writer's own words.  The overall wording score for a summary is determined by how well main ideas and key details are paraphrased and reworded from the source text.,2,3,wording_quality,1,2,The extent main ideas and details in the summary is paraphrased and reworded from the source text.
