student_id,navigation_patterns_between_planets_and_activities,number_of_help_requests
80,AskIt - SummarizeIt,7
81,ExplainIt - SummarizeIt,2
82,SummarizeIt - FindIt,2
83,ExplainIt - SummarizeIt,4
84,RewordIt - AskIt,6
85,ExplainIt - FindIt,8
86,FindIt - ExplainIt,5
87,ExplainIt - SummarizeIt,7
88,FindIt - RewordIt,7
89,RewordIt - FindIt,4
90,AskIt - FindIt,4
91,ExplainIt - AskIt,1
92,FindIt - AskIt,1
93,ExplainIt - RewordIt,8
94,SummarizeIt - AskIt,4
95,SummarizeIt - RewordIt,2
96,FindIt - AskIt,10
97,FindIt - SummarizeIt,10
98,FindIt - RewordIt,5
99,ExplainIt - AskIt,10
100,AskIt - SummarizeIt,1
101,RewordIt - ExplainIt,9
102,ExplainIt - RewordIt,4
103,AskIt - FindIt,1
104,FindIt - SummarizeIt,2
105,FindIt - SummarizeIt,1
106,ExplainIt - AskIt,6
107,AskIt - ExplainIt,8
108,AskIt - RewordIt,9
109,AskIt - ExplainIt,2
110,AskIt - ExplainIt,5
111,ExplainIt - FindIt,1
112,RewordIt - FindIt,2
113,AskIt - ExplainIt,2
114,AskIt - ExplainIt,7
115,FindIt - ExplainIt,5
116,FindIt - ExplainIt,1
117,RewordIt - AskIt,9
118,ExplainIt - SummarizeIt,1
119,ExplainIt - AskIt,2
120,AskIt - FindIt,9
121,RewordIt - ExplainIt,9
122,RewordIt - AskIt,5
123,SummarizeIt - FindIt,8
124,RewordIt - ExplainIt,3
125,ExplainIt - SummarizeIt,5
126,FindIt - RewordIt,10
127,RewordIt - AskIt,4
128,AskIt - ExplainIt,9
129,ExplainIt - FindIt,2
130,ExplainIt - SummarizeIt,6
131,FindIt - AskIt,3
132,AskIt - SummarizeIt,2
133,RewordIt - FindIt,6
134,RewordIt - AskIt,4
135,RewordIt - ExplainIt,6
136,RewordIt - SummarizeIt,10
137,FindIt - ExplainIt,10
138,RewordIt - SummarizeIt,4
139,RewordIt - AskIt,3
140,SummarizeIt - RewordIt,8
141,AskIt - FindIt,5
142,FindIt - SummarizeIt,1
143,SummarizeIt - RewordIt,8
144,RewordIt - SummarizeIt,3
145,RewordIt - ExplainIt,8
146,AskIt - RewordIt,3
147,AskIt - RewordIt,2
148,AskIt - SummarizeIt,4
149,ExplainIt - RewordIt,5
150,ExplainIt - FindIt,10
151,ExplainIt - FindIt,4
152,FindIt - RewordIt,7
153,SummarizeIt - AskIt,2
154,AskIt - ExplainIt,5
155,FindIt - ExplainIt,6
156,FindIt - ExplainIt,1
157,SummarizeIt - ExplainIt,3
158,SummarizeIt - ExplainIt,1
159,AskIt - RewordIt,9
160,ExplainIt - AskIt,7
161,FindIt - ExplainIt,4
162,FindIt - AskIt,1
163,FindIt - ExplainIt,3
164,RewordIt - FindIt,5
165,FindIt - ExplainIt,1
166,SummarizeIt - ExplainIt,2
167,RewordIt - FindIt,8
168,AskIt - ExplainIt,5
169,AskIt - RewordIt,8
170,SummarizeIt - ExplainIt,10
171,FindIt - SummarizeIt,5
172,SummarizeIt - AskIt,8
173,SummarizeIt - RewordIt,1
174,AskIt - FindIt,10
175,ExplainIt - FindIt,2
176,AskIt - SummarizeIt,1
177,RewordIt - ExplainIt,5
178,FindIt - ExplainIt,5
179,RewordIt - FindIt,7
180,AskIt - FindIt,4
181,RewordIt - SummarizeIt,9
182,AskIt - SummarizeIt,8
183,SummarizeIt - ExplainIt,3
184,AskIt - RewordIt,3
185,SummarizeIt - AskIt,6
186,AskIt - ExplainIt,9
187,FindIt - RewordIt,10
188,SummarizeIt - AskIt,8
189,ExplainIt - FindIt,6
190,RewordIt - ExplainIt,9
191,SummarizeIt - FindIt,7
192,ExplainIt - AskIt,8
193,FindIt - AskIt,9
194,FindIt - ExplainIt,10
195,SummarizeIt - ExplainIt,3
196,ExplainIt - SummarizeIt,4
197,RewordIt - SummarizeIt,5
198,FindIt - ExplainIt,9
199,AskIt - FindIt,6
200,AskIt - FindIt,3
201,SummarizeIt - RewordIt,1
202,RewordIt - FindIt,1
203,ExplainIt - FindIt,2
204,AskIt - SummarizeIt,9
205,RewordIt - FindIt,2
206,RewordIt - ExplainIt,5
207,SummarizeIt - ExplainIt,7
208,AskIt - ExplainIt,4
209,ExplainIt - RewordIt,3
210,SummarizeIt - FindIt,10
211,AskIt - ExplainIt,9
212,SummarizeIt - ExplainIt,9
213,ExplainIt - RewordIt,6
214,RewordIt - ExplainIt,4
215,ExplainIt - FindIt,3
216,FindIt - AskIt,3
217,RewordIt - FindIt,10
218,ExplainIt - FindIt,2
219,ExplainIt - SummarizeIt,5
220,SummarizeIt - ExplainIt,4
221,AskIt - ExplainIt,5
222,AskIt - SummarizeIt,9
223,FindIt - AskIt,8
224,FindIt - RewordIt,4
225,ExplainIt - AskIt,1
226,SummarizeIt - RewordIt,2
227,SummarizeIt - FindIt,3
228,ExplainIt - SummarizeIt,3
229,ExplainIt - SummarizeIt,9
230,ExplainIt - RewordIt,3
231,RewordIt - SummarizeIt,7
232,RewordIt - AskIt,5
233,RewordIt - AskIt,10
234,FindIt - SummarizeIt,1
235,FindIt - AskIt,1
236,AskIt - ExplainIt,10
237,FindIt - RewordIt,5
238,SummarizeIt - ExplainIt,6
239,SummarizeIt - RewordIt,6
240,SummarizeIt - ExplainIt,2
241,FindIt - AskIt,2
242,RewordIt - FindIt,6
243,SummarizeIt - AskIt,2
244,ExplainIt - FindIt,3
245,FindIt - AskIt,10
246,SummarizeIt - AskIt,9
247,FindIt - ExplainIt,1
248,AskIt - FindIt,8
249,FindIt - SummarizeIt,3
250,FindIt - ExplainIt,9
251,RewordIt - AskIt,7
252,ExplainIt - SummarizeIt,1
253,RewordIt - SummarizeIt,10
254,ExplainIt - RewordIt,7
255,AskIt - ExplainIt,9
256,ExplainIt - RewordIt,3
257,ExplainIt - RewordIt,6
258,AskIt - RewordIt,10
259,FindIt - ExplainIt,6
260,FindIt - RewordIt,10
261,AskIt - RewordIt,4
262,AskIt - SummarizeIt,3
263,AskIt - RewordIt,1
264,RewordIt - FindIt,1
265,ExplainIt - AskIt,10
266,FindIt - ExplainIt,6
267,ExplainIt - RewordIt,4
268,AskIt - RewordIt,9
269,SummarizeIt - FindIt,8
270,AskIt - RewordIt,5
271,AskIt - ExplainIt,6
272,FindIt - ExplainIt,4
273,FindIt - ExplainIt,6
274,FindIt - AskIt,2
275,AskIt - FindIt,2
276,AskIt - ExplainIt,9
277,FindIt - RewordIt,2
278,RewordIt - AskIt,10
279,SummarizeIt - ExplainIt,2
280,SummarizeIt - FindIt,7
281,RewordIt - ExplainIt,7
282,SummarizeIt - RewordIt,5
283,FindIt - ExplainIt,4
284,ExplainIt - FindIt,8
285,RewordIt - SummarizeIt,1
286,FindIt - AskIt,8
287,AskIt - SummarizeIt,8
288,ExplainIt - SummarizeIt,5
289,ExplainIt - AskIt,2
290,AskIt - SummarizeIt,10
291,ExplainIt - RewordIt,10
292,ExplainIt - RewordIt,4
293,ExplainIt - SummarizeIt,4
294,SummarizeIt - AskIt,4
295,SummarizeIt - ExplainIt,1
296,ExplainIt - SummarizeIt,10
297,RewordIt - SummarizeIt,6
298,AskIt - SummarizeIt,10
299,FindIt - AskIt,3
300,FindIt - AskIt,3
301,RewordIt - ExplainIt,5
302,FindIt - RewordIt,4
303,AskIt - RewordIt,10
304,AskIt - RewordIt,3
305,FindIt - AskIt,10
306,ExplainIt - RewordIt,6
307,AskIt - FindIt,3
308,FindIt - AskIt,9
309,AskIt - RewordIt,10
310,ExplainIt - FindIt,7
311,FindIt - AskIt,7
312,AskIt - RewordIt,8
313,ExplainIt - RewordIt,1
314,AskIt - RewordIt,9
315,RewordIt - ExplainIt,5
316,AskIt - SummarizeIt,6
317,ExplainIt - AskIt,9
318,SummarizeIt - FindIt,4
319,FindIt - RewordIt,1
320,ExplainIt - AskIt,6
321,FindIt - RewordIt,5
322,SummarizeIt - AskIt,4
323,AskIt - ExplainIt,4
324,ExplainIt - SummarizeIt,7
325,AskIt - RewordIt,9
326,AskIt - RewordIt,6
327,FindIt - ExplainIt,5
328,RewordIt - ExplainIt,7
329,SummarizeIt - AskIt,4
330,SummarizeIt - RewordIt,3
331,FindIt - RewordIt,7
332,RewordIt - AskIt,4
333,FindIt - SummarizeIt,6
334,AskIt - RewordIt,5
335,FindIt - ExplainIt,2
336,SummarizeIt - AskIt,1
337,RewordIt - FindIt,5
338,FindIt - RewordIt,6
339,AskIt - RewordIt,8
340,ExplainIt - FindIt,9
341,FindIt - AskIt,1
342,AskIt - ExplainIt,9
343,ExplainIt - SummarizeIt,8
344,RewordIt - AskIt,5
345,FindIt - RewordIt,4
346,AskIt - FindIt,6
347,ExplainIt - AskIt,5
348,RewordIt - ExplainIt,10
349,ExplainIt - RewordIt,4
350,SummarizeIt - RewordIt,7
351,ExplainIt - AskIt,10
352,ExplainIt - FindIt,8
353,RewordIt - SummarizeIt,3
354,AskIt - SummarizeIt,7
355,ExplainIt - SummarizeIt,10
356,AskIt - FindIt,1
357,ExplainIt - AskIt,5
358,SummarizeIt - AskIt,9
359,ExplainIt - RewordIt,4
360,RewordIt - ExplainIt,5
361,AskIt - SummarizeIt,1
362,FindIt - AskIt,10
363,RewordIt - FindIt,8
364,RewordIt - AskIt,6
365,ExplainIt - FindIt,10
366,SummarizeIt - FindIt,7
367,ExplainIt - RewordIt,4
368,FindIt - ExplainIt,6
369,FindIt - SummarizeIt,10
370,ExplainIt - AskIt,8
371,AskIt - RewordIt,1
372,FindIt - RewordIt,5
373,AskIt - RewordIt,4
374,RewordIt - FindIt,7
375,RewordIt - SummarizeIt,6
376,ExplainIt - AskIt,4
377,SummarizeIt - ExplainIt,9
378,RewordIt - FindIt,3
379,SummarizeIt - FindIt,2
380,SummarizeIt - AskIt,2
381,AskIt - ExplainIt,2
382,FindIt - RewordIt,4
383,ExplainIt - FindIt,4
384,AskIt - FindIt,3
385,FindIt - RewordIt,10
386,SummarizeIt - FindIt,2
387,ExplainIt - AskIt,8
388,FindIt - RewordIt,1
389,AskIt - ExplainIt,8
390,AskIt - ExplainIt,2
391,FindIt - SummarizeIt,2
392,AskIt - FindIt,4
393,RewordIt - AskIt,5
394,SummarizeIt - AskIt,9
395,AskIt - RewordIt,10
396,ExplainIt - SummarizeIt,2
397,RewordIt - AskIt,10
398,ExplainIt - AskIt,1
399,RewordIt - FindIt,6
400,SummarizeIt - FindIt,6
401,FindIt - SummarizeIt,6
402,FindIt - ExplainIt,7
403,AskIt - ExplainIt,2
404,RewordIt - SummarizeIt,2
405,SummarizeIt - AskIt,2
406,AskIt - RewordIt,6
407,FindIt - RewordIt,10
408,RewordIt - ExplainIt,5
409,RewordIt - FindIt,4
410,ExplainIt - FindIt,4
411,ExplainIt - RewordIt,9
412,SummarizeIt - AskIt,5
413,RewordIt - ExplainIt,1
414,FindIt - ExplainIt,9
415,AskIt - FindIt,10
416,RewordIt - ExplainIt,6
417,AskIt - ExplainIt,8
418,ExplainIt - SummarizeIt,3
419,AskIt - FindIt,7
420,ExplainIt - FindIt,10
421,AskIt - RewordIt,7
422,ExplainIt - FindIt,2
423,SummarizeIt - ExplainIt,8
424,RewordIt - AskIt,5
425,RewordIt - SummarizeIt,6
426,ExplainIt - AskIt,5
427,FindIt - SummarizeIt,7
428,SummarizeIt - ExplainIt,1
429,AskIt - ExplainIt,6
430,RewordIt - SummarizeIt,4
431,AskIt - RewordIt,1
432,FindIt - AskIt,4
433,RewordIt - SummarizeIt,7
434,FindIt - SummarizeIt,8
435,SummarizeIt - RewordIt,3
436,SummarizeIt - AskIt,6
437,ExplainIt - SummarizeIt,8
438,FindIt - SummarizeIt,4
439,ExplainIt - AskIt,8
440,RewordIt - FindIt,8
441,SummarizeIt - AskIt,1
442,RewordIt - FindIt,2
443,ExplainIt - AskIt,3
444,ExplainIt - RewordIt,8
445,RewordIt - ExplainIt,6
446,ExplainIt - FindIt,5
447,FindIt - AskIt,1
448,SummarizeIt - AskIt,10
449,FindIt - AskIt,6
450,SummarizeIt - FindIt,4
451,SummarizeIt - ExplainIt,1
452,ExplainIt - FindIt,7
453,RewordIt - FindIt,7
454,AskIt - SummarizeIt,6
455,ExplainIt - RewordIt,10
456,ExplainIt - AskIt,3
457,AskIt - RewordIt,1
458,ExplainIt - RewordIt,6
459,AskIt - RewordIt,6
460,SummarizeIt - RewordIt,4
461,ExplainIt - SummarizeIt,3
462,FindIt - SummarizeIt,6
463,SummarizeIt - AskIt,10
464,RewordIt - SummarizeIt,4
465,RewordIt - ExplainIt,4
466,RewordIt - ExplainIt,7
467,AskIt - SummarizeIt,1
468,FindIt - ExplainIt,4
469,RewordIt - SummarizeIt,3
470,AskIt - ExplainIt,4
471,RewordIt - ExplainIt,5
472,AskIt - FindIt,5
473,RewordIt - SummarizeIt,6
474,FindIt - ExplainIt,3
475,RewordIt - FindIt,3
476,FindIt - SummarizeIt,10
477,ExplainIt - RewordIt,10
478,SummarizeIt - ExplainIt,8
479,AskIt - ExplainIt,7
480,ExplainIt - AskIt,5
481,SummarizeIt - RewordIt,3
482,RewordIt - ExplainIt,2
483,RewordIt - SummarizeIt,7
484,SummarizeIt - FindIt,5
485,ExplainIt - SummarizeIt,10
486,RewordIt - FindIt,3
487,FindIt - RewordIt,9
488,RewordIt - AskIt,5
489,FindIt - ExplainIt,9
490,ExplainIt - RewordIt,1
491,SummarizeIt - FindIt,10
492,RewordIt - FindIt,10
493,AskIt - SummarizeIt,9
494,AskIt - RewordIt,10
495,RewordIt - SummarizeIt,1
496,ExplainIt - RewordIt,6
497,FindIt - RewordIt,3
498,FindIt - SummarizeIt,3
499,RewordIt - FindIt,1
500,FindIt - ExplainIt,8
501,SummarizeIt - AskIt,4
502,AskIt - FindIt,6
503,ExplainIt - SummarizeIt,4
504,AskIt - SummarizeIt,3
505,RewordIt - SummarizeIt,10
506,FindIt - SummarizeIt,2
507,AskIt - SummarizeIt,3
508,AskIt - SummarizeIt,10
509,FindIt - ExplainIt,4
510,FindIt - RewordIt,10
511,ExplainIt - RewordIt,2
512,SummarizeIt - RewordIt,6
513,SummarizeIt - RewordIt,5
514,AskIt - FindIt,1
515,FindIt - SummarizeIt,1
516,FindIt - ExplainIt,3
517,SummarizeIt - AskIt,8
518,RewordIt - ExplainIt,9
519,RewordIt - FindIt,3
520,ExplainIt - SummarizeIt,8
521,ExplainIt - FindIt,10
522,SummarizeIt - RewordIt,5
523,ExplainIt - SummarizeIt,4
524,FindIt - SummarizeIt,3
525,AskIt - RewordIt,3
526,ExplainIt - FindIt,2
527,FindIt - AskIt,5
528,AskIt - ExplainIt,4
529,SummarizeIt - FindIt,3
530,RewordIt - ExplainIt,3
531,SummarizeIt - ExplainIt,10
532,ExplainIt - FindIt,4
533,SummarizeIt - ExplainIt,8
534,AskIt - SummarizeIt,1
535,ExplainIt - SummarizeIt,10
536,AskIt - ExplainIt,9
537,ExplainIt - FindIt,4
538,FindIt - ExplainIt,4
539,SummarizeIt - AskIt,5
540,AskIt - SummarizeIt,9
541,SummarizeIt - ExplainIt,4
542,AskIt - FindIt,7
543,SummarizeIt - ExplainIt,2
544,RewordIt - ExplainIt,2
545,ExplainIt - FindIt,8
546,ExplainIt - FindIt,10
547,SummarizeIt - RewordIt,5
548,ExplainIt - AskIt,6
549,SummarizeIt - AskIt,3
550,AskIt - RewordIt,7
551,SummarizeIt - FindIt,1
552,SummarizeIt - AskIt,6
553,ExplainIt - FindIt,5
554,FindIt - RewordIt,7
555,FindIt - RewordIt,2
556,RewordIt - SummarizeIt,9
557,RewordIt - SummarizeIt,9
558,ExplainIt - SummarizeIt,4
559,RewordIt - ExplainIt,2
560,SummarizeIt - RewordIt,2
561,ExplainIt - AskIt,9
562,FindIt - AskIt,9
563,FindIt - ExplainIt,3
564,FindIt - RewordIt,7
565,ExplainIt - FindIt,4
566,FindIt - ExplainIt,2
567,AskIt - ExplainIt,8
568,FindIt - RewordIt,10
569,AskIt - ExplainIt,4
570,FindIt - AskIt,4
571,RewordIt - SummarizeIt,5
572,FindIt - RewordIt,1
573,SummarizeIt - ExplainIt,8
574,SummarizeIt - AskIt,6
575,SummarizeIt - RewordIt,6
576,AskIt - ExplainIt,10
577,ExplainIt - FindIt,5
578,ExplainIt - AskIt,6
579,RewordIt - SummarizeIt,5
580,RewordIt - SummarizeIt,2
581,RewordIt - SummarizeIt,5
582,ExplainIt - FindIt,3
583,FindIt - RewordIt,3
584,FindIt - AskIt,10
585,SummarizeIt - ExplainIt,4
586,AskIt - RewordIt,4
587,AskIt - RewordIt,2
588,AskIt - FindIt,2
589,FindIt - AskIt,5
590,RewordIt - ExplainIt,2
591,FindIt - ExplainIt,4
592,SummarizeIt - FindIt,1
593,AskIt - SummarizeIt,6
594,FindIt - ExplainIt,9
595,ExplainIt - AskIt,8
596,FindIt - ExplainIt,2
597,SummarizeIt - AskIt,9
598,SummarizeIt - RewordIt,6
599,AskIt - FindIt,7
600,AskIt - FindIt,9
601,ExplainIt - FindIt,3
602,FindIt - RewordIt,5
603,RewordIt - FindIt,5
604,ExplainIt - AskIt,8
605,ExplainIt - SummarizeIt,5
606,AskIt - SummarizeIt,6
607,FindIt - AskIt,5
608,ExplainIt - SummarizeIt,9
609,FindIt - AskIt,9
610,RewordIt - FindIt,10
611,FindIt - ExplainIt,7
612,ExplainIt - AskIt,5
613,ExplainIt - AskIt,3
614,SummarizeIt - FindIt,6
615,AskIt - ExplainIt,5
616,RewordIt - FindIt,1
617,ExplainIt - AskIt,3
618,AskIt - RewordIt,5
619,ExplainIt - RewordIt,4
620,RewordIt - AskIt,6
621,FindIt - ExplainIt,7
622,ExplainIt - SummarizeIt,4
623,FindIt - RewordIt,1
624,RewordIt - ExplainIt,9
625,SummarizeIt - ExplainIt,1
626,FindIt - ExplainIt,2
627,AskIt - FindIt,10
628,AskIt - FindIt,3
629,FindIt - AskIt,5
630,AskIt - RewordIt,7
631,FindIt - SummarizeIt,5
632,RewordIt - ExplainIt,1
633,ExplainIt - SummarizeIt,6
634,AskIt - SummarizeIt,3
635,ExplainIt - SummarizeIt,3
636,RewordIt - SummarizeIt,6
637,FindIt - AskIt,9
638,SummarizeIt - FindIt,4
639,ExplainIt - FindIt,6
640,FindIt - RewordIt,10
641,SummarizeIt - RewordIt,1
642,AskIt - SummarizeIt,2
643,FindIt - SummarizeIt,9
644,AskIt - SummarizeIt,4
645,SummarizeIt - FindIt,7
646,SummarizeIt - ExplainIt,2
647,ExplainIt - FindIt,10
648,ExplainIt - SummarizeIt,1
649,ExplainIt - SummarizeIt,9
650,ExplainIt - RewordIt,2
651,RewordIt - AskIt,3
652,RewordIt - AskIt,2
653,RewordIt - AskIt,1
654,SummarizeIt - ExplainIt,5
655,FindIt - AskIt,7
656,AskIt - SummarizeIt,3
657,AskIt - RewordIt,8
658,SummarizeIt - FindIt,6
659,SummarizeIt - RewordIt,4
660,RewordIt - FindIt,7
661,AskIt - ExplainIt,10
662,FindIt - RewordIt,6
663,FindIt - ExplainIt,2
664,ExplainIt - FindIt,8
665,SummarizeIt - RewordIt,5
666,ExplainIt - AskIt,2
667,ExplainIt - AskIt,8
668,AskIt - ExplainIt,5
669,ExplainIt - SummarizeIt,3
670,FindIt - RewordIt,2
671,RewordIt - ExplainIt,2
672,AskIt - SummarizeIt,4
673,AskIt - SummarizeIt,3
674,ExplainIt - AskIt,8
675,AskIt - SummarizeIt,4
676,ExplainIt - AskIt,2
677,FindIt - SummarizeIt,4
678,AskIt - FindIt,9
679,ExplainIt - RewordIt,7
680,AskIt - SummarizeIt,4
681,RewordIt - AskIt,7
682,FindIt - ExplainIt,1
683,SummarizeIt - ExplainIt,6
684,RewordIt - AskIt,2
685,AskIt - SummarizeIt,3
686,ExplainIt - SummarizeIt,6
687,RewordIt - SummarizeIt,10
688,ExplainIt - RewordIt,5
689,SummarizeIt - FindIt,4
690,SummarizeIt - AskIt,2
691,RewordIt - SummarizeIt,10
692,FindIt - SummarizeIt,8
693,RewordIt - FindIt,3
694,ExplainIt - FindIt,7
695,AskIt - FindIt,3
696,FindIt - ExplainIt,3
697,FindIt - AskIt,9
698,FindIt - ExplainIt,1
699,AskIt - ExplainIt,9
700,AskIt - FindIt,4
701,RewordIt - FindIt,3
702,ExplainIt - AskIt,7
703,AskIt - ExplainIt,5
704,FindIt - SummarizeIt,7
705,AskIt - ExplainIt,1
706,ExplainIt - RewordIt,1
707,SummarizeIt - RewordIt,9
708,AskIt - FindIt,6
709,AskIt - FindIt,3
710,RewordIt - FindIt,4
711,AskIt - SummarizeIt,8
712,RewordIt - ExplainIt,3
713,RewordIt - SummarizeIt,5
714,AskIt - FindIt,8
715,FindIt - ExplainIt,2
716,SummarizeIt - AskIt,9
717,RewordIt - AskIt,10
718,FindIt - AskIt,4
719,FindIt - RewordIt,4
720,RewordIt - FindIt,2
721,FindIt - RewordIt,5
722,ExplainIt - AskIt,3
723,SummarizeIt - RewordIt,7
724,FindIt - AskIt,7
725,AskIt - FindIt,10
726,ExplainIt - SummarizeIt,8
727,RewordIt - ExplainIt,3
728,ExplainIt - RewordIt,7
729,AskIt - RewordIt,8
730,ExplainIt - FindIt,5
731,FindIt - AskIt,6
732,RewordIt - SummarizeIt,5
733,SummarizeIt - FindIt,4
734,RewordIt - FindIt,2
735,FindIt - ExplainIt,4
736,AskIt - RewordIt,4
737,FindIt - RewordIt,3
738,FindIt - RewordIt,1
739,SummarizeIt - ExplainIt,2
740,SummarizeIt - RewordIt,9
741,FindIt - SummarizeIt,1
742,FindIt - AskIt,6
743,ExplainIt - SummarizeIt,5
744,AskIt - ExplainIt,7
745,RewordIt - FindIt,10
746,RewordIt - FindIt,4
747,ExplainIt - RewordIt,3
748,SummarizeIt - RewordIt,5
749,SummarizeIt - RewordIt,3
750,ExplainIt - SummarizeIt,8
751,FindIt - SummarizeIt,8
752,RewordIt - FindIt,3
753,ExplainIt - RewordIt,1
754,RewordIt - ExplainIt,4
755,FindIt - ExplainIt,8
756,FindIt - SummarizeIt,8
757,SummarizeIt - AskIt,7
758,FindIt - RewordIt,7
759,ExplainIt - RewordIt,4
760,SummarizeIt - RewordIt,1
761,ExplainIt - RewordIt,2
762,SummarizeIt - ExplainIt,9
763,AskIt - ExplainIt,3
764,RewordIt - SummarizeIt,9
765,AskIt - RewordIt,3
766,FindIt - SummarizeIt,3
767,ExplainIt - RewordIt,5
768,FindIt - AskIt,3
769,SummarizeIt - ExplainIt,6
770,AskIt - ExplainIt,7
771,RewordIt - AskIt,5
772,ExplainIt - AskIt,9
773,FindIt - AskIt,7
774,SummarizeIt - ExplainIt,9
775,RewordIt - AskIt,9
776,AskIt - FindIt,10
777,ExplainIt - FindIt,3
778,ExplainIt - SummarizeIt,1
779,ExplainIt - AskIt,4
780,SummarizeIt - RewordIt,1
781,ExplainIt - RewordIt,7
782,AskIt - ExplainIt,3
783,SummarizeIt - RewordIt,2
784,SummarizeIt - FindIt,6
785,FindIt - ExplainIt,5
786,FindIt - SummarizeIt,1
787,FindIt - ExplainIt,4
788,AskIt - ExplainIt,3
789,SummarizeIt - RewordIt,7
790,FindIt - SummarizeIt,10
791,FindIt - AskIt,1
792,ExplainIt - FindIt,1
793,SummarizeIt - FindIt,9
794,AskIt - RewordIt,6
795,SummarizeIt - ExplainIt,9
796,SummarizeIt - RewordIt,8
797,RewordIt - FindIt,8
798,AskIt - ExplainIt,3
799,AskIt - ExplainIt,5
800,SummarizeIt - FindIt,1
801,ExplainIt - FindIt,1
802,SummarizeIt - ExplainIt,6
803,FindIt - AskIt,10
804,ExplainIt - FindIt,10
805,SummarizeIt - AskIt,6
806,ExplainIt - RewordIt,3
807,SummarizeIt - RewordIt,4
808,SummarizeIt - ExplainIt,1
809,ExplainIt - SummarizeIt,8
810,RewordIt - AskIt,7
811,RewordIt - FindIt,5
812,AskIt - FindIt,1
813,FindIt - AskIt,7
814,AskIt - ExplainIt,4
815,RewordIt - FindIt,3
816,AskIt - SummarizeIt,4
817,AskIt - SummarizeIt,1
818,SummarizeIt - AskIt,10
819,FindIt - AskIt,7
820,AskIt - FindIt,4
821,SummarizeIt - AskIt,7
822,AskIt - RewordIt,10
823,SummarizeIt - RewordIt,5
824,ExplainIt - RewordIt,5
825,AskIt - SummarizeIt,7
826,AskIt - SummarizeIt,3
827,AskIt - FindIt,8
828,ExplainIt - RewordIt,6
829,RewordIt - SummarizeIt,7
830,SummarizeIt - FindIt,6
831,SummarizeIt - AskIt,10
832,RewordIt - FindIt,7
833,ExplainIt - RewordIt,3
834,FindIt - ExplainIt,2
835,ExplainIt - SummarizeIt,10
836,SummarizeIt - AskIt,9
837,AskIt - SummarizeIt,8
838,FindIt - ExplainIt,3
839,ExplainIt - FindIt,8
840,AskIt - RewordIt,10
841,SummarizeIt - RewordIt,9
842,AskIt - SummarizeIt,5
843,ExplainIt - AskIt,7
844,RewordIt - ExplainIt,5
845,ExplainIt - RewordIt,7
846,AskIt - RewordIt,9
847,ExplainIt - RewordIt,4
848,FindIt - ExplainIt,10
849,SummarizeIt - AskIt,3
850,RewordIt - AskIt,4
