student_id,text_complexity,student_performance,rate_of_improvement_in_reading_skills,concept_mastery_across_different_texts
170,4,4,-3,10
171,7,4,4,9
172,8,8,7,6
173,9,2,7,4
174,10,10,-5,10
175,5,7,7,6
176,4,9,-3,7
177,10,3,-5,4
178,2,7,1,10
179,10,6,8,8
180,4,10,9,5
181,6,2,-1,2
182,8,7,0,2
183,10,9,-3,1
184,5,9,-9,1
185,3,10,8,6
186,3,4,-6,10
187,5,3,7,2
188,7,4,-6,9
189,2,6,-4,2
190,1,2,-10,4
191,9,10,-7,8
192,10,8,6,9
193,5,5,0,7
194,3,7,-9,5
195,3,1,-1,4
196,5,7,4,7
197,4,4,-6,4
198,9,5,10,7
199,4,1,-4,9
200,7,10,5,4
201,10,9,3,10
202,2,10,3,5
203,7,8,-4,9
204,2,5,-7,3
205,1,9,-1,1
206,1,10,9,7
207,3,7,-2,10
208,2,7,-4,2
209,9,8,0,6
210,10,2,-6,8
211,9,1,-5,3
212,7,7,-9,3
213,7,8,-10,1
214,6,6,-10,5
215,4,10,10,1
216,3,2,-7,8
217,1,9,7,9
218,6,3,9,5
219,5,7,4,6
220,8,4,9,7
221,7,9,-3,9
222,6,8,-8,5
223,9,9,-8,3
224,10,5,6,6
225,9,7,-4,4
226,8,5,-1,6
227,10,6,-7,3
228,8,7,-5,5
229,3,3,0,2
230,2,1,5,5
231,7,6,4,9
232,9,7,9,8
233,1,5,3,7
234,9,5,5,10
235,3,7,-5,10
236,2,9,-9,4
237,10,3,-9,9
238,4,2,-5,7
239,4,10,10,8
240,5,3,-6,2
241,2,9,-7,10
242,9,9,-10,10
243,3,6,-4,2
244,6,5,-7,9
245,10,8,-1,2
246,6,5,-10,2
247,3,8,-2,6
248,4,9,-5,6
249,10,6,0,6
250,1,2,4,1
251,6,5,-8,8
252,2,10,8,10
253,10,1,-5,7
254,8,4,1,2
255,2,9,10,10
256,2,5,0,5
257,9,10,-3,1
258,10,1,-9,2
259,10,6,-3,2
260,5,4,-9,4
261,7,10,6,2
262,2,8,7,2
263,10,6,-1,4
264,4,10,-4,6
265,4,4,5,2
266,3,3,-9,7
267,2,8,-2,4
268,1,4,-6,7
269,2,10,10,5
270,2,6,5,7
271,5,8,-4,6
272,1,1,2,10
273,4,2,-9,8
274,10,8,3,6
275,9,9,-1,4
276,1,10,8,2
277,9,7,-5,10
278,2,6,-4,1
279,3,9,7,8
280,6,4,9,8
281,3,6,3,2
282,8,9,-3,2
283,6,5,-6,2
284,5,1,0,9
285,1,4,2,8
286,2,10,2,4
287,3,8,-9,6
288,1,9,3,8
289,10,10,2,9
290,1,7,10,2
291,3,3,-3,6
292,5,4,0,7
293,7,4,3,7
294,10,3,0,2
295,1,1,-3,4
296,1,3,-6,5
297,2,7,-5,6
298,8,6,10,6
299,2,2,-5,6
300,3,4,2,7
301,1,10,-4,10
302,5,9,-4,6
303,5,9,9,7
304,1,3,9,4
305,3,5,2,5
306,7,2,4,7
307,3,3,-7,9
308,10,1,-10,1
309,1,8,0,5
310,1,4,7,3
311,9,4,3,4
312,7,10,-9,4
313,4,7,6,7
314,10,4,-4,1
315,3,8,-6,9
316,3,6,-1,8
317,8,4,7,1
318,5,4,-8,8
319,9,7,4,10
320,9,7,0,5
321,3,4,1,5
322,8,2,6,5
323,10,2,-10,4
324,7,5,1,8
325,5,4,9,6
326,9,2,0,4
327,4,2,-10,6
328,4,4,7,6
329,1,2,-2,8
330,2,2,-6,4
331,6,7,-8,9
332,4,8,-8,2
333,10,7,-3,6
334,5,4,-4,6
335,7,5,8,9
336,2,8,-2,3
337,9,7,7,8
338,1,10,-7,1
339,3,10,9,1
340,1,5,-8,2
341,4,6,-9,3
342,9,7,9,2
343,8,8,7,3
344,4,8,9,3
345,3,10,9,7
346,10,2,-7,9
347,2,1,3,8
348,7,9,-10,4
349,9,7,-5,7
350,8,10,-2,4
351,8,8,9,10
352,1,6,-9,3
353,2,6,-3,3
354,7,10,6,7
355,1,3,-3,7
356,5,2,-7,10
357,9,6,-7,8
358,1,9,10,9
359,4,1,-10,6
360,8,2,9,1
361,6,6,7,6
362,3,6,-9,1
363,3,1,-9,2
364,10,2,-3,2
365,10,9,6,10
366,1,9,-6,2
367,5,7,2,7
368,4,6,6,3
369,7,6,6,1
370,7,7,9,2
371,2,10,2,9
372,6,2,-8,2
373,10,10,9,2
374,2,1,-6,3
375,10,8,-8,9
376,4,5,-2,8
377,8,3,-2,8
378,2,8,4,6
379,6,6,7,6
380,2,2,-10,1
381,4,4,3,4
382,7,8,-2,9
383,10,2,1,1
384,3,1,9,9
385,10,3,6,5
386,2,6,7,5
387,5,2,-6,9
388,3,7,-6,7
389,8,6,1,4
390,10,3,-5,2
391,10,9,-7,4
392,8,10,-3,7
393,1,10,3,5
394,5,5,-4,10
395,9,10,-1,10
396,9,9,-6,10
397,2,4,6,10
398,7,3,-5,8
399,5,6,-6,9
400,3,2,-6,8
401,4,5,3,4
402,4,8,10,7
403,2,5,-9,2
404,7,6,5,4
405,3,2,0,3
406,2,2,-2,2
407,6,10,-4,7
408,7,6,-2,1
409,2,2,-4,2
410,3,10,8,4
411,8,1,1,1
412,6,8,0,8
413,3,8,9,7
414,6,8,-6,2
415,10,3,0,9
416,2,9,-6,5
417,7,4,-8,9
418,5,3,-1,3
419,6,10,-1,6
420,6,3,6,5
421,9,10,-8,10
422,9,4,-10,1
423,8,5,5,4
424,10,8,-5,7
425,4,6,-7,2
426,3,4,7,7
427,1,5,-8,5
428,5,4,-3,8
429,8,2,4,6
430,9,10,4,9
431,8,9,-7,5
432,6,2,8,3
433,10,9,-6,10
434,5,1,-6,4
435,1,9,-2,10
436,7,6,2,1
437,6,10,-1,9
438,3,6,10,3
439,5,3,-2,10
440,7,3,8,7
441,4,10,-4,1
442,6,7,-7,10
443,2,7,7,3
444,8,1,9,2
445,10,2,-5,2
446,2,9,-2,2
447,8,3,-8,10
448,8,2,-10,6
449,6,5,4,4
450,6,2,-5,3
451,1,7,1,4
452,7,5,-4,2
453,10,10,3,3
454,7,4,-2,6
455,10,5,6,10
456,8,10,3,3
457,10,6,-8,6
458,4,5,8,7
459,5,5,-6,10
460,3,10,7,2
461,10,8,5,5
462,5,6,-7,3
463,5,5,-6,6
464,4,1,-8,1
465,6,8,2,2
466,6,8,-5,9
467,1,6,9,1
468,6,1,8,1
469,6,5,2,10
470,4,6,0,7
471,9,1,-1,9
472,8,9,-1,7
473,3,1,-5,5
474,6,6,4,6
475,9,7,7,5
476,1,2,-7,1
477,9,4,10,2
478,7,8,9,1
479,9,3,9,3
480,1,2,-8,7
481,9,7,-3,9
482,10,2,5,3
483,1,9,-6,5
484,10,3,-1,10
485,5,2,7,7
486,2,4,-9,1
487,1,3,1,3
488,6,8,6,7
489,5,6,-10,8
490,5,9,10,4
491,7,7,-5,4
492,7,5,-7,5
493,5,4,-4,6
494,7,2,9,2
495,3,1,6,10
496,3,4,-10,3
497,2,9,1,4
498,8,6,-5,1
499,2,8,-10,2
500,5,10,-3,4
501,8,9,-6,7
502,7,5,-4,6
503,7,6,-4,3
504,6,1,-1,4
505,10,6,-3,8
506,1,6,-6,4
507,8,6,7,9
508,10,8,-7,6
509,10,3,2,10
510,7,6,-7,10
511,5,6,-9,2
512,8,10,1,4
513,6,1,-1,10
514,5,4,-10,5
515,5,3,-9,8
516,7,9,3,2
517,1,5,-3,6
518,4,10,-8,10
519,8,5,10,4
520,7,8,6,4
521,10,8,-2,8
522,3,5,-9,1
523,8,7,1,3
524,9,1,-10,3
525,7,5,-4,10
526,1,1,-2,9
527,2,2,3,9
528,2,4,-5,1
529,8,4,6,5
530,2,1,-1,5
531,8,10,8,6
532,9,1,-4,9
533,8,2,10,7
534,4,9,0,6
535,10,4,7,4
536,6,1,-6,10
537,9,4,-9,10
538,7,9,5,9
539,8,7,4,5
540,1,4,-1,3
541,3,9,2,10
542,7,10,4,2
543,5,4,-9,2
544,3,7,-10,9
545,6,1,8,5
546,3,9,5,6
547,8,6,-1,3
548,9,10,5,10
549,3,6,8,2
550,7,3,6,5
551,6,9,9,8
552,7,8,6,5
553,10,5,-5,3
554,4,7,-6,1
555,5,3,3,7
556,4,9,-7,2
557,6,6,-10,8
558,5,7,8,5
559,8,4,-8,6
560,7,6,-2,8
561,3,5,-3,3
562,8,2,5,3
563,10,9,10,6
564,5,2,2,4
565,5,2,10,10
566,6,2,9,7
567,2,6,-9,5
568,6,5,-6,6
569,7,3,-4,6
570,4,6,-9,2
571,4,10,-9,6
572,10,9,-9,9
573,6,6,1,10
574,7,8,-10,3
575,1,6,10,3
576,4,5,-2,9
577,3,10,-1,6
578,5,8,10,4
579,4,4,5,9
580,9,2,6,1
581,3,3,-1,1
582,1,1,6,7
583,3,5,1,3
584,7,2,5,1
585,7,2,7,5
586,6,4,3,3
587,3,2,4,2
588,6,5,8,2
589,3,7,-6,6
590,9,2,-5,1
591,4,2,9,8
592,7,5,7,4
593,10,8,-6,9
594,2,10,-9,1
595,3,1,-2,8
596,2,9,-6,6
597,6,8,7,10
598,5,3,10,6
599,10,7,1,6
600,1,6,-7,10
601,5,8,-9,3
602,2,7,-4,9
603,6,6,6,5
604,4,8,8,1
605,7,6,4,2
606,1,2,-3,7
607,6,10,-9,10
608,3,5,7,2
609,6,5,-2,5
610,2,3,-8,8
611,4,9,6,4
612,1,8,-6,7
613,7,9,-1,10
614,3,4,-7,5
615,9,1,4,9
616,9,5,0,2
617,7,4,8,4
618,8,10,0,8
619,5,2,4,4
620,5,8,-3,5
621,1,9,1,1
622,5,5,-6,7
623,4,7,-8,9
624,3,4,9,6
625,2,8,6,4
626,6,1,-6,2
627,9,4,5,9
628,8,3,2,8
629,3,2,1,6
630,10,3,0,1
631,3,3,4,2
632,10,2,7,7
633,9,2,-5,4
634,7,9,-6,10
635,7,1,-10,1
636,8,1,-7,4
637,8,4,-2,2
638,1,1,5,3
639,8,3,-5,4
640,5,8,7,8
641,2,5,-3,3
642,3,7,-3,7
643,8,1,-8,3
644,1,8,-10,9
645,4,3,2,1
646,7,10,9,4
647,8,4,-6,2
648,8,8,0,4
649,9,3,7,5
650,6,6,-6,2
651,2,4,9,10
652,5,2,-4,4
653,3,7,-4,1
654,9,6,8,2
655,7,3,4,3
656,3,4,-5,9
657,7,4,8,10
658,1,1,-3,5
659,5,5,-8,2
660,5,7,-4,6
661,3,7,1,8
662,1,5,6,8
663,5,4,-1,3
664,2,1,7,10
665,2,1,-9,1
666,10,4,-5,6
667,8,6,8,9
668,4,10,3,3
669,8,2,-6,4
670,2,8,-10,7
671,10,10,-7,2
672,3,7,-3,10
673,10,3,6,6
674,9,9,-4,3
675,8,7,-4,9
676,1,10,6,6
677,3,6,-7,4
678,1,10,6,10
679,7,2,5,2
680,9,3,-1,4
681,10,10,3,5
682,6,5,-1,6
683,3,7,4,5
684,7,2,1,8
685,10,1,0,6
686,7,4,1,5
687,1,5,8,3
688,4,6,-5,3
689,5,10,1,8
690,10,7,2,9
691,8,6,0,4
692,4,8,5,3
693,3,2,2,1
694,10,9,6,6
695,7,5,9,1
696,4,1,8,8
697,5,7,3,8
698,1,5,-9,3
699,6,5,4,7
700,1,9,2,9
701,2,6,-3,2
702,5,7,-10,1
703,9,10,2,7
704,3,1,0,8
705,7,5,-8,1
706,6,10,-4,10
707,6,1,1,7
708,7,1,-4,3
709,6,5,-9,3
710,1,3,-2,10
711,7,8,-2,5
712,1,7,6,7
713,2,4,10,8
714,1,8,3,7
715,7,6,-6,9
716,7,8,8,6
717,7,1,0,9
718,1,8,7,2
719,3,10,10,4
720,7,10,5,9
721,6,7,-4,4
722,6,6,-10,7
723,2,5,-1,4
724,7,10,-6,6
725,7,8,7,7
726,10,3,-8,8
727,1,2,-4,2
728,9,7,-2,1
729,1,6,10,10
730,6,5,3,3
731,9,3,3,3
732,8,7,-1,6
733,4,5,-7,10
734,8,3,5,3
735,5,9,-2,8
736,9,1,-10,8
737,6,4,-4,8
738,7,4,5,9
739,1,3,7,2
740,2,7,0,6
741,3,10,-10,3
742,10,6,-8,6
743,5,9,-9,7
744,10,2,0,9
745,3,2,-6,10
746,6,6,7,3
747,7,10,0,7
748,7,4,-7,1
749,9,3,3,9
750,4,6,2,10
751,10,7,6,5
752,4,10,-6,6
753,6,10,-9,3
754,8,4,-2,9
755,1,2,-2,7
756,10,10,7,1
757,2,7,-10,4
758,5,10,4,10
759,2,4,1,10
760,8,2,-10,10
761,6,6,-5,2
762,3,1,4,5
763,7,3,6,5
764,4,6,1,4
765,8,1,0,4
766,8,9,3,7
767,1,4,7,10
768,1,5,-6,1
769,1,5,7,4
770,3,10,3,4
771,2,6,-5,1
772,1,1,8,8
773,6,2,4,7
774,3,1,5,5
775,9,8,0,10
776,1,9,-8,4
777,2,9,-9,8
778,4,8,3,4
779,2,10,-4,7
780,7,3,10,10
781,1,6,-3,10
782,8,9,-4,10
783,6,3,0,7
784,8,10,6,2
785,4,4,4,7
786,2,6,10,5
787,2,3,3,7
788,10,9,-3,5
789,7,4,0,6
790,9,8,7,2
791,6,3,3,6
792,1,6,-5,5
793,3,5,-8,5
794,3,3,1,7
795,7,4,-6,3
796,5,4,-5,5
797,9,6,0,7
798,6,9,-2,10
799,10,10,8,8
800,3,5,-9,5
801,7,8,2,6
802,7,10,-4,9
803,6,6,-2,5
804,8,10,-4,3
805,4,3,-5,5
806,5,1,-1,9
807,5,2,10,3
808,7,9,4,6
809,7,4,-4,8
810,7,8,-8,6
811,1,9,8,9
812,9,5,-6,2
813,9,4,10,7
814,3,3,-3,8
815,1,6,-6,8
816,10,6,-3,7
817,6,1,-7,5
818,8,10,10,5
819,2,8,4,4
820,5,9,-3,10
821,10,8,3,7
822,3,2,5,1
823,6,8,-1,10
824,5,5,5,8
825,2,8,6,7
826,3,1,-8,4
827,1,10,-9,3
828,7,4,-4,2
829,9,3,-2,10
830,7,4,8,2
831,1,8,10,3
832,2,7,8,5
833,5,7,-7,4
834,4,5,1,6
835,8,9,-8,8
836,2,9,5,10
837,9,9,-8,7
838,3,6,10,7
839,7,10,-8,2
840,5,6,0,9
841,1,8,4,5
842,9,6,-3,3
843,10,6,9,8
844,7,5,-4,9
845,9,8,7,1
846,1,9,-4,8
847,10,9,5,5
848,2,6,-9,1
849,9,1,-5,2
850,3,2,4,7
851,9,2,-5,9
852,2,6,-2,9
853,4,10,-1,3
854,4,2,-4,5
855,9,10,9,9
856,5,7,-3,4
857,4,5,-5,6
858,10,7,2,10
859,3,5,-5,10
860,6,10,-8,5
861,4,5,5,2
862,4,8,-5,5
863,8,8,8,1
864,5,1,-2,9
865,6,2,-9,1
866,1,8,8,5
867,1,5,-10,3
868,10,2,-5,9
869,6,7,5,2
870,6,7,0,10
871,9,6,7,6
872,1,4,3,6
873,3,10,5,7
874,3,10,-8,6
875,8,7,10,9
876,3,10,-1,7
877,8,8,-8,2
878,4,1,-2,10
879,5,7,-3,7
880,8,5,-7,7
881,10,3,0,2
882,2,9,1,2
883,7,8,-8,8
884,6,1,4,10
885,1,2,-5,9
886,10,3,-2,2
887,3,2,-4,4
888,2,10,-6,4
889,1,7,-5,2
890,2,6,0,2
891,9,9,-10,8
892,3,6,-9,10
893,1,7,-2,9
894,4,4,9,3
895,8,4,-8,10
896,9,1,-4,4
897,9,2,0,5
898,9,8,4,4
899,3,8,1,3
900,5,5,3,10
901,9,8,6,10
902,9,7,-2,7
903,6,9,8,8
904,7,8,10,4
905,2,4,0,10
906,10,3,-9,4
907,5,3,4,8
908,3,6,-2,7
909,3,6,9,7
910,9,3,5,3
911,10,3,9,9
912,1,4,-4,1
913,1,3,-3,10
914,1,8,4,5
915,1,1,6,3
916,6,2,8,10
917,6,6,8,4
918,2,3,3,6
919,6,7,-3,10
920,3,10,-3,8
921,7,2,-4,10
922,1,2,9,8
923,2,2,-8,7
924,5,9,7,8
925,7,2,-4,1
926,2,5,2,10
927,1,3,-4,5
928,8,10,-1,5
929,8,7,4,10
930,1,9,-8,3
931,7,5,-9,5
932,7,2,-6,10
933,7,3,10,6
934,4,4,-9,4
935,9,9,3,6
936,8,1,-1,2
937,9,7,3,5
938,3,8,5,5
939,9,7,2,2
940,7,10,5,7
941,9,8,6,8
942,2,9,-5,4
943,3,7,-3,4
944,6,8,-2,7
945,9,8,-8,7
946,8,2,-6,5
947,4,4,4,2
948,10,4,-3,9
949,10,9,0,7
950,4,6,7,9
951,8,10,-2,9
952,5,10,4,3
953,10,2,-8,9
954,8,4,-4,8
955,4,2,2,2
956,2,6,9,5
957,2,10,-2,6
958,4,8,-9,2
959,9,9,0,6
960,10,3,-5,4
961,4,4,3,3
962,5,4,-6,5
963,4,8,6,4
964,4,3,8,4
965,3,8,2,7
966,2,10,-7,8
967,3,2,-7,5
968,5,2,-4,5
969,9,5,3,10
970,4,10,-7,2
971,1,8,7,10
972,2,3,-5,2
973,2,4,10,5
974,7,8,-3,7
975,9,2,-10,6
976,9,2,4,7
977,5,4,3,3
978,2,1,-5,6
979,10,1,-9,8
980,6,4,7,3
981,8,5,0,1
982,6,7,-6,2
983,4,2,-7,6
984,5,2,9,8
985,4,9,3,10
986,9,9,-8,10
987,1,5,-10,1
988,3,2,-7,7
989,1,10,-7,4
990,10,7,9,10
991,4,9,7,7
992,7,2,1,4
993,2,7,-4,1
994,5,3,-1,6
995,9,2,6,9
996,6,3,0,10
997,8,4,-5,9
998,5,3,9,2
999,3,2,-2,3
1000,3,4,-10,5
